address,status,street,borough,zip,cb,cwz,bbl
"852 CLASSON AVENUE,BROOKLYN 11238",OK,852 CLASSON AVENUE,BROOKLYN,11238,308,BK3,40.67181,,-73.961193,,3011800025
"49 BROADWAY,BROOKLYN 11249",OK,49 BROADWAY,BROOKLYN,11249,301,BK1,40.710658,,-73.96697,,3024697502
"110 BLEECKER STREET,MANHATTAN 10012",OK,110 BLEECKER STREET,MANHATTAN,10012,102,MN1B,40.72742,,-73.997658,,1005240066
"410 EAST 92 STREET,MANHATTAN 10128",OK,410 EAST   92 STREET,MANHATTAN,10128,108,MN6,40.780488,,-73.946119,,1015717501
"324 WEST 15 STREET,MANHATTAN 10011",OK,324 WEST   15 STREET,MANHATTAN,10011,104,MN5,40.740817,,-74.002923,,1007380054
"129 West  138 Street,MANHATTAN 10030",OK,129 WEST  138 STREET,MANHATTAN,10030,110,MN7,40.816803,,-73.941278,,1020070010
"4300 BAYCHESTER AVENUE,BRONX 10466",OK,4300 BAYCHESTER AVENUE,BRONX,10466,212,BX2,40.897077,,-73.84524,,2050570001
"916 58 STREET,BROOKLYN 11219",OK,916 58 STREET,BROOKLYN,11219,312,BK4,40.63497,,-74.005631,,3057010013
"1770 DAVIDSON AVENUE,BRONX 10453",OK,1770 DAVIDSON AVENUE,BRONX,10453,205,BX1,40.848772,,-73.912724,,2028610114
"251 WEST 100 STREET,MANHATTAN 10025",OK,251 WEST  100 STREET,MANHATTAN,10025,107,MN5,40.797629,,-73.970871,,1018720001
"27-59 CRESCENT STREET,QUEENS 11102",OK,27-59 CRESCENT STREET,QUEENS,11102,401,QN1,40.76909,,-73.924695,,4005740035
"47-05 104 STREET,QUEENS 11368",OK,47-05 104 STREET,QUEENS,11368,404,QN2,40.745608,,-73.859487,,4019917501
"309 Grand  Avenue,BROOKLYN 11238",OK,309 GRAND AVENUE,BROOKLYN,11238,302,BK2,40.686758,,-73.962472,,3019660004
"4020 EAST TREMONT AVENUE,BRONX 10465",OK,4020 EAST TREMONT AVENUE,BRONX,10465,210,BX2,40.81985,,-73.817723,,2055760097
