year,borough,community_board,complaint_type,descriptors,status_cal,count,avg,avg,avg
2010,BRONX,206,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Closed,6,,,6.0000000000000000
2010,BRONX,206,Recycling Enforcement,ER2 Resident Recyc. (Tenant),Closed,1,,,5.0000000000000000
2010,BRONX,206,Sanitation Condition,12 Dead Animals,Closed,69,,,0.89855072463768115942
2010,BRONX,206,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Closed,169,,,2.1065088757396450
2010,BRONX,206,Sanitation Condition,15R Street Cond/Ref.W Door,Closed,1,,,2.0000000000000000
2010,BRONX,206,Sanitation Condition,22 Weeds,Closed,2,,,5.0000000000000000
2010,BRONX,206,snow,15I Street Condition Ice-Non Storm,Closed,2,,,0.50000000000000000000
2010,BRONX,206,snow,15S Re-Plow/Spread/Ice-Snow Cond.,Closed,15,,,0.66666666666666666667
2010,BRONX,206,snow,5 Un-Plowed/Spread Street,Closed,1,,,1.00000000000000000000
2010,BRONX,206,snow,E9 Snow / Icy Sidewalk,Closed,17,,,4.2352941176470588
2010,BRONX,206,Sweeping Complaint,3 Sweeping/Missed-Inadequate,Closed,1,,,3.0000000000000000
2010,BRONX,206,Vacant Lot,8 Request to Clean Vacant Lot,Closed,18,,,18.6111111111111111
2010,BRONX,207,Derelict Vehicles,Derelict Vehicles,Closed,30,,,1.3333333333333333
2010,BRONX,207,Dirty Conditions,E1 Improper Disposal,Closed,20,,,6.0000000000000000
2010,BRONX,207,Dirty Conditions,E11 Litter Surveillance,Closed,5,,,5.2000000000000000
2010,BRONX,207,Dirty Conditions,E12 Illegal Dumping Surveillance,Closed,16,,,5.5625000000000000
2010,BRONX,207,Dirty Conditions,E13 Throw-Out,Closed,2,,,7.5000000000000000
2010,BRONX,207,Dirty Conditions,E15 Illegal Postering,Closed,264,,,2.3863636363636364
2010,BRONX,207,Dirty Conditions,E1A Litter Basket / Improper Use,Closed,2,,,10.0000000000000000
2010,BRONX,207,Dirty Conditions,E2 Receptacle Violation,Closed,6,,,1.00000000000000000000
2010,BRONX,207,Dirty Conditions,E3 Dirty Sidewalk,Closed,54,,,4.3148148148148148
2010,BRONX,207,Dirty Conditions,E3A Dirty Area/Alleyway,Closed,53,,,5.2830188679245283
2010,BRONX,207,Dirty Conditions,"E4 18"" Law",Closed,5,,,3.4000000000000000
2010,BRONX,207,Dirty Conditions,E5 Loose Rubbish,Closed,5,,,5.2000000000000000
2010,BRONX,207,Dirty Conditions,E7 Private Carter Spillage,Closed,1,,,26.0000000000000000
2010,BRONX,207,Dirty Conditions,E8 Canine Violation,Closed,103,,,1.8737864077669903
2010,BRONX,207,Graffiti,Graffiti,Closed,378,,,59.6746031746031746
2010,BRONX,207,Graffiti,Graffiti,Open,6,4417.5000000000000000,,
2010,BRONX,207,Litter Basket Complaint,10 Litter Basket / Request,Closed,26,,,1.2307692307692308
2010,BRONX,207,Missed Collection,1 Missed Collection,Closed,38,,,0.26315789473684210526
2010,BRONX,207,Missed Collection,1R Missed Recycling-All Materials,Closed,6,,,1.1666666666666667
2010,BRONX,207,Missed Collection,1RB Missed Recycling - M/G/Pl,Closed,3,,,0.00000000000000000000
2010,BRONX,207,Missed Collection,1RG Missed Recycling Paper,Closed,4,,,0.00000000000000000000
2010,BRONX,207,Missed Collection,2 Bulk-Missed Collection,Closed,22,,,0.45454545454545454545
2010,BRONX,207,Other Enforcement,E10 Obstruction (Street/Sidewalk),Closed,16,,,1.1875000000000000
2010,BRONX,207,Other Enforcement,E2A Storage Of Receptacles,Closed,4,,,2.2500000000000000
2010,BRONX,207,Other Enforcement,E6 Commercial Waste Disposal,Closed,8,,,3.6250000000000000
2010,BRONX,207,Other Enforcement,ECR Commercial Routing Sticker,Closed,4,,,6.7500000000000000
2010,BRONX,207,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Closed,15,,,0.80000000000000000000
2010,BRONX,207,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Closed,5,,,3.2000000000000000
2010,BRONX,207,Recycling Enforcement,ER2 Resident Recyc. (Tenant),Closed,4,,,10.0000000000000000
2010,BRONX,207,Sanitation Condition,12 Dead Animals,Closed,80,,,0.51250000000000000000
2010,BRONX,207,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Closed,148,,,0.87162162162162162162
2010,BRONX,207,Sanitation Condition,22 Weeds,Closed,5,,,3.4000000000000000
2010,BRONX,207,snow,15I Street Condition Ice-Non Storm,Closed,7,,,0.28571428571428571429
2010,BRONX,207,snow,15S Re-Plow/Spread/Ice-Snow Cond.,Closed,38,,,0.07894736842105263158
2010,BRONX,207,snow,5 Un-Plowed/Spread Street,Closed,4,,,0.00000000000000000000
2010,BRONX,207,snow,E9 Snow / Icy Sidewalk,Closed,40,,,4.9000000000000000
2010,BRONX,207,Sweeping Complaint,3 Sweeping/Missed-Inadequate,Closed,5,,,0.60000000000000000000
2010,BRONX,207,Vacant Lot,8 Request to Clean Vacant Lot,Closed,17,,,51.7647058823529412
2010,BRONX,207,Vacant Lot,8 Request to Clean Vacant Lot,Open,1,4358.0000000000000000,,
2010,BRONX,208,Collection Truck Noise,21 Collection Truck Noise,Closed,1,,,3.0000000000000000
