year,borough,community_board,complaint_type,status_cal,count,avg,avg,avg
2010,BROOKLYN,308,Collection Truck Noise,Closed,2,,,0.50000000000000000000
2010,BROOKLYN,308,Derelict Vehicles,Closed,96,,,2.7395833333333333
2010,BROOKLYN,308,Dirty Conditions,Closed,367,,,4.9019073569482289
2010,BROOKLYN,308,Graffiti,Closed,252,,,77.6428571428571429
2010,BROOKLYN,308,Graffiti,Open,3,4291.3333333333333333,,
2010,BROOKLYN,308,Litter Basket Complaint,Closed,68,,,2.3088235294117647
2010,BROOKLYN,308,Missed Collection,Closed,111,,,1.5225225225225225
2010,BROOKLYN,308,Other Enforcement,Closed,50,,,5.7600000000000000
2010,BROOKLYN,308,Overflowing Litter Baskets,Closed,18,,,1.1666666666666667
2010,BROOKLYN,308,Recycling Enforcement,Closed,20,,,6.3000000000000000
2010,BROOKLYN,308,Sanitation Condition,Closed,379,,,1.8654353562005277
2010,BROOKLYN,308,snow,Closed,112,,,5.2857142857142857
2010,BROOKLYN,308,Sweeping Complaint,Closed,15,,,1.1333333333333333
2010,BROOKLYN,308,Vacant Lot,Closed,29,,,38.2758620689655172
2010,BROOKLYN,308,Vacant Lot,Open,3,4247.6666666666666667,,
2010,BROOKLYN,309,Adopt-A-Basket,Closed,1,,,2.0000000000000000
2010,BROOKLYN,309,Derelict Vehicles,Closed,62,,,1.6290322580645161
2010,BROOKLYN,309,Dirty Conditions,Closed,244,,,4.9385245901639344
2010,BROOKLYN,309,Graffiti,Closed,119,,,78.3025210084033613
2010,BROOKLYN,309,Graffiti,Open,4,4285.0000000000000000,,
2010,BROOKLYN,309,Litter Basket Complaint,Closed,22,,,1.7272727272727273
2010,BROOKLYN,309,Missed Collection,Closed,95,,,1.3263157894736842
2010,BROOKLYN,309,Other Enforcement,Closed,42,,,4.7857142857142857
2010,BROOKLYN,309,Overflowing Litter Baskets,Closed,18,,,1.5555555555555556
2010,BROOKLYN,309,Recycling Enforcement,Closed,14,,,8.0714285714285714
